﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2020/21"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2022
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","First degree","Foundation degree","HNC/HND","Professional graduate certificate in education","Other undergraduate","Total undergraduate"
"10008071","AA School of Architecture","215","0","0","0","20","235"
"10007783","The University of Aberdeen","2,075","0","0","0","260","2,335"
"10007849","Abertay University","920","0","0","0","155","1,075"
"10007856","Aberystwyth University","1,505","20","0","25","95","1,645"
"10067853","ACM Guildford Limited","405","0","0","0","65","470"
"10000248","Academy of Live and Recorded Arts","55","0","0","0","0","55"
"10000163","AECC University College","120","0","0","0","5","125"
"10032036","Amity Global Education","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","4,215","290","0","0","620","5,125"
"10041898","Apex College London","0","0","55","0","0","55"
"10005451","Arden University","575","0","10","0","160","745"
"10000381","Arts Educational Schools","80","0","0","0","60","140"
"10008899","The Ashridge (Bonar Law Memorial) Trust","0","0","0","0","0","0"
"10003212","Hult International Business School Ltd","265","0","0","0","0","265"
"10007759","Aston University","2,515","65","0","0","155","2,735"
"10038772","British Academy of Jewellery Limited","0","0","0","0","25","25"
"10007857","Bangor University","1,865","0","0","0","110","1,975"
"10000571","Bath Spa University","1,890","90","0","0","205","2,185"
"10007850","The University of Bath","3,430","65","0","0","50","3,550"
"10007152","University of Bedfordshire","1,785","120","0","75","475","2,455"
"10005343","Queen's University Belfast","4,610","0","0","0","1,045","5,660"
"10037544","BIMM Limited","1,370","0","0","0","255","1,625"
"10007760","Birkbeck College","1,045","30","0","0","435","1,515"
"10007140","Birmingham City University","4,735","210","90","0","575","5,615"
"10006840","The University of Birmingham","6,325","115","0","0","285","6,725"
"10000712","University College Birmingham","925","380","0","0","145","1,445"
"10000894","Bristol Baptist College","0","0","0","0","0","5"
"10007811","Bishop Grosseteste University","475","75","0","10","75","630"
"10004061","Bloomsbury Institute","235","0","0","0","55","285"
"10006841","The University of Bolton","1,330","215","60","40","270","1,915"
"10000385","The Arts University Bournemouth","990","0","0","0","110","1,100"
"10000824","Bournemouth University","3,500","10","25","0","430","3,970"
"10031982","BPP University","220","0","0","0","755","975"
"10007785","The University of Bradford","1,865","45","0","0","135","2,045"
"10000886","The University of Brighton","3,480","85","0","70","155","3,790"
"10000936","The University College of Osteopathy","70","0","0","0","10","80"
